"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"12","SyS6V_iCBAs","2025-01-26T03:53:32Z","UCFmofUYwZd1Ibf_O3PF71jg","Hundreds of Chicago protesters march to &#39;Stop the Trump agenda&#39;","Hundreds of protesters marched in opposition to President Donald Trump's agenda in downtown Chicago on Saturday. Subscribe ...","https://i.ytimg.com/vi/SyS6V_iCBAs/default.jpg","120","90","https://i.ytimg.com/vi/SyS6V_iCBAs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SyS6V_iCBAs/hqdefault.jpg","480","360","FOX 32 Chicago","none","2025-01-26T03:53:32Z"
"13","hIzqsAldhTE","2025-01-26T12:38:46Z","UCknLrEdhRCp1aegoMqRaCZg","Thousands across Germany protest far-right AfD: How are they so popular? | DW News","Protesters in Germany took to the streets to oppose the country's popular far-right party. The demonstrations took place across the ...","https://i.ytimg.com/vi/hIzqsAldhTE/default.jpg","120","90","https://i.ytimg.com/vi/hIzqsAldhTE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/hIzqsAldhTE/hqdefault.jpg","480","360","DW News","none","2025-01-26T12:38:46Z"
"14","DjLDXVZ3myE","2025-01-21T19:00:56Z","UCw3fku0sH3qA3c3pZeJwdAw","Mexicans protest Trump at US Embassy in Mexico City","Protesters burned a Pińata of Donald Trump outside the U.S. embassy in Mexico City in protest of his new term and anti-immigrant ...","https://i.ytimg.com/vi/DjLDXVZ3myE/default.jpg","120","90","https://i.ytimg.com/vi/DjLDXVZ3myE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DjLDXVZ3myE/hqdefault.jpg","480","360","Daily Mail","none","2025-01-21T19:00:56Z"
"15","clZdCfeVLDs","2025-01-22T06:12:16Z","UCXN7rPhZK6Rp8lMhvpSri_Q","At least 5 arrested in anti-Trump protest in Portland","At least 5 arrested in anti-Trump protest in Portland Subscribe to KOIN 6's YouTube channel: ...","https://i.ytimg.com/vi/clZdCfeVLDs/default.jpg","120","90","https://i.ytimg.com/vi/clZdCfeVLDs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/clZdCfeVLDs/hqdefault.jpg","480","360","KOIN 6","none","2025-01-22T06:12:16Z"
"16","9GofH0KueKs","2025-01-23T07:22:43Z","UC5T7D-Dh1eDGtsAFCuwv_Sw","Protest groups aim to shut down Melbourne CBD on January 26 | 7NEWS","Police are bracing for mass protests on Australia Day, with activists threatening to swamp the city and the Australian Open.","https://i.ytimg.com/vi/9GofH0KueKs/default.jpg","120","90","https://i.ytimg.com/vi/9GofH0KueKs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9GofH0KueKs/hqdefault.jpg","480","360","7NEWS Australia","none","2025-01-23T07:22:43Z"
"17","XRujOYO0nZo","2025-01-21T04:22:06Z","UCIRYBXDze5krPDzAEOxFGVA","From Panama to Mexico, demonstrations over Trump&#39;s inauguration as 47th US president","Demonstrators took to the streets as Donald Trump was sworn in as the US president. Subscribe to Guardian News on YouTube ...","https://i.ytimg.com/vi/XRujOYO0nZo/default.jpg","120","90","https://i.ytimg.com/vi/XRujOYO0nZo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XRujOYO0nZo/hqdefault.jpg","480","360","Guardian News","none","2025-01-21T04:22:06Z"
"18","-8TXLDpDlzU","2025-01-25T23:10:01Z","UCkBS_xU1WQ7FVsDoQ_OPeDg","Protesters in downtown Chicago rally against Trump&#39;s immigration policies","A protest rally and march to Trump Tower originally planned for President Trump's second inauguration took place on Saturday in ...","https://i.ytimg.com/vi/-8TXLDpDlzU/default.jpg","120","90","https://i.ytimg.com/vi/-8TXLDpDlzU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-8TXLDpDlzU/hqdefault.jpg","480","360","CBS Chicago","none","2025-01-25T23:10:01Z"
"19","LrkQXapkK68","2025-01-20T23:54:56Z","UCiinSjWS3E0vtAa3DCvp7iA","Protests erupted nationwide against Trump’s inauguration and the right-wing ‘billionaire agenda’.","","https://i.ytimg.com/vi/LrkQXapkK68/default.jpg","120","90","https://i.ytimg.com/vi/LrkQXapkK68/mqdefault.jpg","320","180","https://i.ytimg.com/vi/LrkQXapkK68/hqdefault.jpg","480","360","BreakThrough News","none","2025-01-20T23:54:56Z"
"20","SLCgkyb0kic","2025-01-26T04:19:22Z","UC_-gT7OYiRCK9Sp8SIv9WgQ","Hundreds gather in Aurora to protest mass deportation","In Aurora Saturday, hundreds of people gathered to protest a barrage of executive orders and memos from the Trump ...","https://i.ytimg.com/vi/SLCgkyb0kic/default.jpg","120","90","https://i.ytimg.com/vi/SLCgkyb0kic/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SLCgkyb0kic/hqdefault.jpg","480","360","CBS Colorado","none","2025-01-26T04:19:22Z"
"21","SLCgkyb0kic","2025-01-26T04:19:22Z","UC_-gT7OYiRCK9Sp8SIv9WgQ","Hundreds gather in Aurora to protest mass deportation","In Aurora Saturday, hundreds of people gathered to protest a barrage of executive orders and memos from the Trump ...","https://i.ytimg.com/vi/SLCgkyb0kic/default.jpg","120","90","https://i.ytimg.com/vi/SLCgkyb0kic/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SLCgkyb0kic/hqdefault.jpg","480","360","CBS Colorado","none","2025-01-26T04:19:22Z"
